date;unit_measure;coffee;coal;oil_oilbyproducts;ferronickel
2017-01-01;USDkFOB;227.674;426.885;1.179.658;14.728
2017-02-01;USDkFOB;210.303;498.033;919.528;437
2017-03-01;USDkFOB;286.062;616.233;1.040.526;30.851
2017-04-01;USDkFOB;209.099;385.891;1.063.556;4.459
2017-05-01;USDkFOB;187.682;804.563;1.075.943;62.508
2017-06-01;USDkFOB;132.054;359.358;1.042.656;26.292
2017-07-01;USDkFOB;224.406;652.621;978.907;5.929
2017-08-01;USDkFOB;202.233;560.126;1.078.869;63.931
2017-09-01;USDkFOB;233.587;834.211;1.042.128;25.659
2017-10-01;USDkFOB;209.842;554.439;1.236.888;44.222
2017-11-01;USDkFOB;192.744;534.207;1.110.482;48.271
2017-12-01;USDkFOB;197.817;1.163.429;1.397.578;33.256
2017-01-01;MetricTons;60.509;6.516.997;3.655.405;4.318
2017-02-01;MetricTons;56.568;6.386.224;2.836.185;332
2017-03-01;MetricTons;77.088;8.683.657;3.297.163;9.592
2017-04-01;MetricTons;57.973;5.603.903;3.351.406;1.693
2017-05-01;MetricTons;52.450;12.455.878;3.390.710;19.861
2017-06-01;MetricTons;37.825;4.975.521;3.604.211;8.423
2017-07-01;MetricTons;66.120;10.159.976;3.271.744;2.030
2017-08-01;MetricTons;59.373;8.747.276;3.441.527;21.729
2017-09-01;MetricTons;66.721;12.246.021;3.118.191;8.165
2017-10-01;MetricTons;59.872;7.834.836;3.445.708;11.846
2017-11-01;MetricTons;56.936;6.888.399;3.025.842;13.947
2017-12-01;MetricTons;58.920;14.736.902;3.591.873;9.021
2016-01-01;USDkFOB;157.586;235.075;655.691;21.296
2016-02-01;USDkFOB;179.732;334.132;662.221;17.777
2016-03-01;USDkFOB;174.117;274.418;728.716;30.575
2016-04-01;USDkFOB;277.374;318.048;732.253;24.176
2016-05-01;USDkFOB;148.341;426.822;951.607;31.071
2016-06-01;USDkFOB;172.626;397.556;1.083.481;36.804
2016-07-01;USDkFOB;126.356;318.518;984.521;13.869
2016-08-01;USDkFOB;164.055;654.162;888.572;36.517
2016-09-01;USDkFOB;190.426;358.192;1.015.463;28.624
2016-10-01;USDkFOB;188.306;382.147;1.013.317;24.058
2016-11-01;USDkFOB;214.746;340.821;991.809;34.321
2016-12-01;USDkFOB;424.028;598.990;1.087.928;28.677
2016-01-01;MetricTons;50.796;4.563.426;4.099.192;10.250
2016-02-01;MetricTons;59.077;7.185.453;3.829.221;8.086
2016-03-01;MetricTons;57.116;5.790.884;3.506.781;13.382
2016-04-01;MetricTons;92.283;5.628.710;3.350.926;9.465
2016-05-01;MetricTons;48.230;7.896.880;3.728.618;12.989
2016-06-01;MetricTons;54.554;7.417.393;3.919.472;15.419
2016-07-01;MetricTons;39.095;6.218.363;3.794.673;5.410
2016-08-01;MetricTons;49.455;11.912.907;3.355.791;12.964
2016-09-01;MetricTons;55.318;6.567.195;3.722.027;10.142
2016-10-01;MetricTons;53.599;6.447.841;3.502.198;8.511
2016-11-01;MetricTons;60.053;5.512.723;3.671.353;12.290
2016-12-01;MetricTons;113.391;9.986.024;3.454.792;8.834
2014-01-01;USDkFOB;139.214;612.407;2.788.686;53.737
2014-02-01;USDkFOB;199.935;312.049;2.450.563;42.435
2014-03-01;USDkFOB;149.163;268.100;2.613.951;40.140
2014-04-01;USDkFOB;219.600;399.158;2.389.910;32.959
2014-05-01;USDkFOB;208.391;977.542;2.791.267;63.963
2014-06-01;USDkFOB;157.380;544.172;2.668.114;NA
2014-07-01;USDkFOB;225.461;661.701;2.629.108;67.025
2014-08-01;USDkFOB;213.488;651.295;2.568.157;59.685
2014-09-01;USDkFOB;212.560;783.939;2.613.617;73.247
2014-10-01;USDkFOB;247.368;622.414;2.075.419;47.727
2014-11-01;USDkFOB;261.195;392.491;1.836.360;46.878
2014-12-01;USDkFOB;239.494;584.795;1.563.025;NA
2014-01-01;MetricTons;47.702;7.276.755;4.441.995;12.833
2014-02-01;MetricTons;66.993;4.067.699;3.653.691;10.516
2014-03-01;MetricTons;45.028;3.331.867;3.967.145;9.858
2014-04-01;MetricTons;57.686;5.403.409;3.718.159;7.278
2014-05-01;MetricTons;49.020;12.456.190;4.419.105;12.491
2014-06-01;MetricTons;36.257;6.844.487;3.903.074;10.021
2014-07-01;MetricTons;52.079;8.884.841;4.104.137;12.260
2014-08-01;MetricTons;49.092;8.629.473;4.165.562;10.798
2014-09-01;MetricTons;48.409;10.472.245;4.442.970;13.661
2014-10-01;MetricTons;54.590;8.216.269;4.045.643;9.438
2014-11-01;MetricTons;57.446;5.111.706;3.942.640;10.486
2014-12-01;MetricTons;53.657;8.400.374;4.338.391;12.915
2015-01-01;USDkFOB;282.199;412.622;1.139.138;55.129
2015-02-01;USDkFOB;245.880;409.885;1.369.264;15.959
2015-03-01;USDkFOB;207.262;498.557;1.504.909;80.976
2015-04-01;USDkFOB;177.275;429.377;1.327.334;26.379
2015-05-01;USDkFOB;190.448;306.824;1.637.327;29.040
2015-06-01;USDkFOB;155.986;385.288;1.390.383;36.632
2015-07-01;USDkFOB;234.972;378.466;1.159.675;45.665
2015-08-01;USDkFOB;214.936;448.910;1.069.879;26.040
2015-09-01;USDkFOB;245.896;346.582;1.065.492;36.935
2015-10-01;USDkFOB;175.232;275.602;1.196.043;18.085
2015-11-01;USDkFOB;183.509;309.584;889.938;30.867
2015-12-01;USDkFOB;212.937;358.329;816.748;28.045
2015-01-01;MetricTons;64.610;5.834.251;4.109.478;12.707
2015-02-01;MetricTons;59.311;6.160.922;4.191.446;3.696
2015-03-01;MetricTons;52.277;7.605.814;4.593.090;20.316
2015-04-01;MetricTons;47.231;6.756.601;3.891.460;7.203
2015-05-01;MetricTons;52.936;4.953.838;4.315.365;8.320
2015-06-01;MetricTons;44.691;6.267.750;3.754.526;11.015
2015-07-01;MetricTons;69.107;6.069.623;3.492.278;13.308
2015-08-01;MetricTons;64.005;7.089.058;3.918.927;8.772
2015-09-01;MetricTons;75.227;6.373.753;3.966.952;13.910
2015-10-01;MetricTons;54.280;4.798.950;4.373.724;7.003
2015-11-01;MetricTons;58.548;5.718.975;3.684.568;10.775
2015-12-01;MetricTons;68.888;7.081.914;4.140.012;11.609
2013-01-01;USDkFOB;198.825;331.415;869.485;164.672
2013-02-01;USDkFOB;204.067;320.377;798.291;84.737
2013-03-01;USDkFOB;185.607;451.517;1.018.803;NA  
2013-04-01;USDkFOB;166.088;505.207;1.008.097;106.612
2013-05-01;USDkFOB;147.223;443.903;1.202.917;59.587
2013-06-01;USDkFOB;159.400;526.593;1.460.899;115.974
2013-07-01;USDkFOB;172.324;512.079;1.335.526;104.470
2013-08-01;USDkFOB;116.587;388.721;1.274.605;59.520
2013-09-01;USDkFOB;129.225;416.759;1.208.662;34.901
2013-10-01;USDkFOB;128.630;372.998;899.103;0
2013-11-01;USDkFOB;99.066;119.325;647.674;13.064
2013-12-01;USDkFOB;147.924;123.714;486.439;34.677
2013-01-01;MetricTons;66.969;5.680.613;1.629.315;17.404
2013-02-01;MetricTons;67.361;4.652.213;1.398.563;9.584
2013-03-01;MetricTons;57.227;6.990.127;1.646.669;NA  
2013-04-01;MetricTons;50.740;7.198.798;1.608.215;11.157
2013-05-01;MetricTons;45.863;5.948.872;1.655.379;6.264
2013-06-01;MetricTons;49.634;6.747.136;1.832.509;13.539
2013-07-01;MetricTons;53.000;6.177.986;1.706.649;14.216
2013-08-01;MetricTons;35.684;4.689.358;1.869.422;8.991
2013-09-01;MetricTons;38.984;4.671.754;1.921.589;5.581
2013-10-01;MetricTons;38.962;4.479.653;2.095.938;0
2013-11-01;MetricTons;33.184;1.079.153;1.987.773;2.633
2013-12-01;MetricTons;49.425;1.350.277;2.015.913;5.630
2018-01-01;USDkFOB;247.016;669.643;1.289.579;42839
2018-02-01;USDkFOB;182.036;536.334;1.057.380;NA   
2018-03-01;USDkFOB;195.990;701.670;1.194.653;56603
2018-04-01;USDkFOB;197.820;806.803;1.391.923;60412
2018-05-01;USDkFOB;184.363;568.363;1.469.748;70482
2018-06-01;USDkFOB;141.569;493.301;1.384.106;47888
2018-07-01;USDkFOB;158.313;722.155;1.427.403;60439
2018-01-01;MetricTons;74.254;8.240.749;3.111.232;11847
2018-02-01;MetricTons;55.176;6.514.303;2.631.591;NA  
2018-03-01;MetricTons;60.532;8.501.830;2.958.676;15021
2018-04-01;MetricTons;61.389;9.579.831;3.258.040;14186
2018-05-01;MetricTons;57.533;7.055.155;3.205.261;16077
2018-06-01;MetricTons;44.127;5.970.972;3.019.655;10589
2018-07-01;MetricTons;49.660;8.364.156;3.159.031;12966
